# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 09:01:53
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       Jy/beam       Jy/beam             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J230538.97+121310.6"            22    193.960497    218.844921    144.831818           191           198           215           224           138           148            95     -0.001122      0.003950      0.217030      0.000000             0      0.107955      2.825138      1.661582     -0.148164     -0.700766      0.001795      7.364929      5.062561      7.390435      4.602525      3.269776     33.077209      0.000000      0.000000      0.000000     -1.000000      0.148940      0.155816      0.210024      0.017497    346.412369     12.219624   2.21885e+06           193           218           145    346.415097     12.217275   2.21829e+06
  "SoFiA J230451.60+120557.4"            23    263.411965    175.501162    136.633131           258           271           166           181           129           148           236  -7.36880e-04      0.004459      0.460903      0.000000             0      0.052679      3.470729      2.562867      0.127430     -1.327336      0.001359     16.915626     16.475488     17.167154      5.997288      5.553884    -51.550971      4.767588      3.411617    -78.134515     63.542194      0.125540      0.122988      0.252057      0.020873    346.214985     12.099280   2.24629e+06           264           174           129    346.213315     12.095110   2.27184e+06
  "SoFiA J230516.42+120014.4"            24    227.000085    141.204632    143.715005           223           231           138           147           135           148           140   1.61879e-04      0.005648      0.259602      0.000000             0      0.111111      2.272718      1.765452      1.125960     -0.229895      0.001654      9.132380      3.475661      9.387416      4.282578      3.199785     20.699182      1.484014      0.982359      9.654657     -1.000000      0.136916      0.145237      0.277461      0.019566    346.318398     12.003999   2.22259e+06           227           140           148    346.318397     12.000653   2.20825e+06
  "SoFiA J230341.23+122620.8"            25    366.476056    297.907543    141.794118           364           371           286           307           137           147           165  -1.01895e-04      0.004771      0.374143      0.000000             0      0.085227      2.212033      0.974713      0.475807      0.600802      0.001732      4.652389      3.090321      4.525137     11.069511      2.183304     17.366556      9.729684      1.184337     14.668585     -1.000000      0.117483      0.319824      0.095911      0.022247    345.921785     12.439119   2.22902e+06           365           303           141    345.925967     12.453270   2.23168e+06
  "SoFiA J230548.71+115813.7"            26    179.607514    129.164900    142.411532           176           184           125           133           135           147           171  -7.58148e-04      0.004657      0.379098      0.000000             4      0.162393      3.167008      2.641600      2.102486      6.755034      0.002063     12.000000     12.000000     12.000000      5.012142      2.635803     49.675001      4.229486      0.760146     48.661433     -1.000000      0.145747      0.128706      0.258242      0.026971    346.452961     11.970481   2.22695e+06           178           130           146    346.457527     11.972797   2.21494e+06
  "SoFiA J230356.43+121356.5"            27    344.273489    223.454826    143.938264           338           350           220           227           140           146            95     -0.001344      0.003480      0.137962      0.000000             0      0.130495      2.511493      2.300105      0.359798     -0.790892      0.001443      3.003620      1.710841      2.898390      9.263418      2.109908    -69.332238     12.879936           nan    -76.943856     -1.000000      0.346492      0.146621      0.092362      0.014061    345.985140     12.232371   2.22184e+06           338           222           144    346.002975     12.228346   2.22164e+06
  "SoFiA J230610.54+121001.1"            28    147.652922    199.927607    142.586877           144           150           196           206           141           146            88   4.81831e-04      0.003999      0.144691      0.000000             0      0.190476      1.972879      1.163873      1.664264      1.995950      0.001960      5.000000      2.351104      5.000000      5.814411      2.320746    -25.676289      0.000000      0.000000      0.000000     -1.000000      0.216337      0.326084      0.185575      0.018389    346.543923     12.166959   2.22636e+06           149           200           141    346.540095     12.167165   2.23168e+06
  "SoFiA J230543.92+124032.8"            29    186.823180    383.068537    141.136561           182           190           378           389           139           145            73   5.06872e-04      0.003814      0.173114      0.000000             4      0.096561      4.691504      2.315116     -0.240385     -1.118487      0.001331      1.664397      1.040248      5.498825      6.943234      2.819730     33.731882      9.123518      2.200483     27.867159     -1.000000      0.150523      0.216445      0.119616      0.011371    346.433000     12.675789   2.23122e+06           186           389           140    346.435357     12.692264   2.23502e+06
  "SoFiA J230417.43+122638.8"            30    313.442795    299.653213    143.268985           311           316           295           304           141           145            49  -4.89229e-04      0.004502      0.107272      0.000000             0      0.163333      2.585603      1.594681     -0.071158     -0.976678      0.002108      3.800937      3.183518      3.768710      4.688065      2.352439     -7.132260      0.000000      0.000000      0.000000     -1.000000      0.169850      0.333289      0.153734      0.014754    346.072639     12.444099   2.22408e+06           313           299           144    346.073900     12.442286   2.22164e+06
  "SoFiA J230424.64+123037.7"            31    302.872123    323.542299    136.011389           295           307           319           328           124           144           263     -0.001508      0.003749      0.461959      0.000000             0      0.096337      2.259291      1.463246      0.548503      0.560633      0.001454     17.806546     17.484858     17.779307      4.883875      4.063488     71.939370      3.312963      2.449315      1.866278     -1.000000      0.110338      0.104699      0.254051      0.023581    346.102675     12.510474   2.24837e+06           305           323           134    346.096621     12.508965   2.25510e+06
  "SoFiA J230451.03+122747.4"            32    264.230243    306.500720    139.401914           260           267           299           312           135           144            87   5.89965e-04      0.003480      0.173270      0.000000             0      0.077679      2.600098      1.162153      0.764164      0.020879      0.001400      8.279873      6.970805      7.939829      7.077204      2.207859    -30.727372      3.410538      1.865013    -44.255843     -1.000000      0.152586      0.242066      0.183503      0.013057    346.212628     12.463168   2.23702e+06           266           306           139    346.207594     12.461776   2.23837e+06
