 165  4001  4200  60.0 3.4  9.85 0.12 354 10.07 0
 166  5106  5294  75.6 3.6 10.32 0.12 579  9.93 0
 167  1044  1379  19.7 2.9  8.74 0.12 170  8.56 0
 168  2689  2915  41.6 3.0 10.06 0.12 401  9.20 0
 169 11045 11127 159.0 5.4  9.76 0.12 320  9.74 0
 170  5171  5364  76.6 3.6  9.95 0.12 424  9.42 0
 171  3632  3857  55.1 3.2 10.06 0.12 445 10.08 0
 172  6147  6274  89.6 3.8  9.50 0.12 409  9.60 0
 173  6003  6137  87.7 3.8  9.43 0.12 383  9.55 0
 174 10868 10948 156.4 5.4            253 10.26 1
 176  4955  5171  73.9 3.6 10.10 0.12 336 10.33 0
 177  3291  3521  50.3 3.2  9.02 0.12 206  8.88 0
 178  7610  7753 110.8 4.3  9.55 0.12 100  9.18 0
 179  5813  5978  85.4 3.9            308 10.02 1
 181  4130  4357  62.2 3.4  9.57 0.12 310 10.02 0
 182 10346 10450 149.3 5.2 10.44 0.12 564 10.74 0
 183  5090  5270  75.3 3.6 10.06 0.12 390  9.97 0
 184  5907  6081  86.9 3.9            235  9.69 1
 185 10593 10698 152.8 5.3 10.29 0.12 515 10.82 0
 186  7997  8135 116.2 4.5  9.62 0.12 225 10.11 0
 187  8284  8421 120.3 4.5 10.00 0.12 188 10.26 0
 188  1734  2045  29.2 3.0  9.69 0.12 100  8.91 0
 189  3128  3370  48.1 3.1            294  9.29 1
 191  5887  6071  86.7 3.9  9.52 0.12 489  9.73 0
 192  5228  5428  77.5 3.7  9.65 0.12 141  9.68 0
 194  2059  2386  34.1 3.0  8.58 0.12 180  8.61 0
 195  6683  6864  98.1 4.0  8.91 0.12 376  9.65 1
 196  3884  4110  58.7 3.3  9.70 0.12 322  9.68 0
 198  9661  9799 140.0 5.0 10.62 0.12 366 10.30 0
 199  3895  4129  59.0 3.3  9.78 0.12 324  9.98 0
 200  6779  6965  99.5 4.1 10.16 0.12 249 10.41 0
 201  4061  4308  61.5 3.4  9.91 0.12 467 10.19 0
 202  3882  4136  59.1 3.4 10.07 0.12 411 10.36 0
 203  7998  8168 116.7 4.5            256 10.23 1
 204  9399  9549 136.4 4.9  9.99 0.12 632 10.22 0
 205  6858  7057 100.8 4.1  9.96 0.12 297  9.72 0
 206  6301  6503  92.9 4.0            269 10.03 1
 208  2119  2384  34.1 3.0  9.49 0.12 264  8.88 0
 209  4011  4265  60.9 3.4            220  9.46 1
 210  8455  8632 123.3 4.6  9.50 0.12 285  9.62 0
 211  8412  8592 122.7 4.6            403 10.47 1
 212  2140  2402  34.3 3.1  8.81 0.12 168  8.45 0
 213  5963  6178  88.3 3.9  8.95 0.12 215  9.12 0
 215  6959  7153 102.2 4.2            294 10.05 1
 216  8549  8739 124.8 4.6  9.71 0.12 395 10.16 0
 217  3504  3773  53.9 3.2  9.34 0.12 123  9.45 0
 218  5289  5516  78.8 3.6  9.43 0.12 184  9.04 0
 219 14340 14475 206.8 6.6            470 10.98 1
 220 13517 13662 195.2 6.4            544 10.95 1
 221  9045  9237 132.0 4.8  9.75 0.12 236 10.32 0
 222  5506  5745  82.1 3.8  9.64 0.12 220  9.43 0
 223 14109 14250 203.6 6.6            395 10.67 1
 224   509   769  10.1 1.0  8.71 0.12 100  7.86 0
 225 11143 11306 161.5 5.6 10.06 0.12 274 10.73 0
 226  9136  9330 133.3 4.8            406 10.29 1
 227  9354  9550 136.4 4.9 10.43 0.12 576  9.98 0
 228  8651  8832 126.2 4.7            271 10.21 1
 229  9490  9696 138.5 5.0            254 10.78 1
 230  6036  6257  89.4 3.9  9.43 0.12 178  9.17 0
 231  6877  7094 101.3 4.2  9.89 0.12 369  9.60 0
 232  5252  5504  78.6 3.7 10.35 0.12 377 10.09 0
 233 11225 11406 162.9 5.6            320 10.46 1
 234  8533  8753 125.0 4.6  9.84 0.12 595  9.97 0
 236  8818  9046 129.2 4.7  9.99 0.12 426 10.10 0
 237  5459  5701  81.4 3.7 10.48 0.12 517 10.94 0
 238  8299  8506 121.5 4.6 10.37 0.12 321 10.30 0
 240  4684  4938  70.5 3.5  9.63 0.12 566  9.43 0
 241  5675  5944  84.9 3.8  9.36 0.12 235  9.39 0
 242  4594  4874  69.6 3.6  9.50 0.12 205  9.07 0
 243  4487  4769  68.1 3.5  8.54 0.12 183  9.04 0
 244  5907  6168  88.1 3.9            386 10.00 1
 245  4195  4483  64.0 3.5            100  9.29 1
 246  7444  7654 109.3 4.3 10.10 0.12 436  9.96 0
 247  1974  2248  32.1 3.2  9.21 0.12 139  8.83 0
 248 11170 11385 162.6 5.6  9.81 0.12 195 10.21 0
 249  6590  6851  97.9 4.0  9.50 0.12 214  9.72 0
 250  2123  2456  35.1 3.1  9.79 0.12 244  9.47 0
 251 11058 11223 160.3 5.5 10.40 0.12 394 10.66 0
 252  9534  9776 139.7 5.1 10.17 0.12 467 10.06 0
 253  9420  9677 138.2 4.9 10.25 0.12 400 10.37 0
 256  6783  7000 100.0 4.0            328 10.33 1
 257 12959 13160 188.0 6.2            419 10.54 1
 258  6041  6316  90.2 4.0  9.46 0.12 244  9.67 0
 260  5497  5784  82.6 3.7  9.99 0.12 228  9.63 0
 261  9073  9341 133.4 4.9  9.43 0.12 205  9.66 0
 264  7715  7972 113.9 4.4  9.60 0.12 318 10.17 1
 266  6645  6870  98.1 4.1  9.89 0.12 342  9.51 0
 267  4235  4508  64.4 3.4  9.70 0.12 174  8.82 0
 268  4717  5024  71.8 3.6  9.67 0.12 273  9.79 0
 269 13974 14195 202.8 6.5            584 10.89 1
 270  8928  9196 131.4 4.8            503 10.54 1
 271  7911  8128 116.1 4.4 10.08 0.12 424 10.66 0
 273 14266 14497 207.1 6.6            123 10.11 1
 274  7503  7778 111.1 4.3            165  9.85 1
 275 11972 12171 173.9 5.8            655 11.09 1
 276  1940  2193  31.3 3.2  9.16 0.12 159  8.84 0
 277  4526  4840  69.1 3.5  9.59 0.12 292  9.52 0
 278  7729  7991 114.2 4.4  9.83 0.12 539  9.63 0
 279  1945  2196  31.4 3.2  9.22 0.12 291  9.03 0
 280  5184  5491  78.4 3.7  9.84 0.12 152  9.20 0
 281  4233  4547  65.0 3.4  9.64 0.12 169  9.38 0
 282  8696  8979 128.3 4.8            234 10.12 1
 283  4101  4422  63.2 3.4  9.75 0.12 385  9.54 0
 284 13061 13311 190.2 6.3            285 10.46 1
 286  8808  9105 130.1 4.8  9.93 0.12 255  9.81 0
 287  8297  8575 122.5 4.6  9.72 0.12 409  9.79 0
 288 10476 10763 153.8 5.4  9.93 0.12 217  9.95 0
 289 12291 12569 179.6 6.0            353 11.42 1
 290  1756  2123  30.3 3.0  9.16 0.12 182  9.21 0
 291  2524  2795  39.9 3.2  9.59 0.12 153  9.29 0
 292  1820  2189  31.3 3.0  9.89 0.12 331  9.75 0
 293  1792  2131  30.4 3.1  9.45 0.12 233  8.86 0
 294  8432  8759 125.1 4.7  9.88 0.12 409  9.79 0
 295  5790  6144  87.8 3.8  9.91 0.12 398 10.13 0
 296  4310  4651  66.4 3.5  9.67 0.12 426  9.85 0
