  85 253.1  6.9  3.6  1.3  2  36.8 192.3  25.11 0.22 1.05  26.37  2642.9   0.6 0.01 135.0   0.9  0.0 0.99 133.8 0 0 G91 TC88
  86  48.0  2.5  4.5  8.5  4  19.5  27.9   6.65 0.28 1.17   7.76  5270.2   4.0 0.02 275.2   5.7 14.7 0.98 256.0 0 0 AOL Sp05
  87  14.4  1.2  1.4  4.2  3  11.6  55.7   4.27 0.11 1.08   4.63  5661.3   8.4 0.02 342.1  11.9  0.0 0.98 335.8 0 0 AOL HG84
  88  22.1  1.2  2.8  8.5  6  17.7  26.2   3.84 0.14 1.08   4.15  4967.9   6.2 0.02 271.8   8.8 29.3 0.98 238.6 0 0 AOL Sp05
  90   9.2  1.7  2.2  8.5  2   5.4  14.2   1.44 0.17 1.05   1.52  4850.5   7.0 0.02 209.8  10.0  0.0 0.98 206.5 0 0 AOL Sp05
  91  21.4  1.6  1.8  4.1  3  13.3  50.6   4.96 0.15 1.09   5.39  4870.9   4.4 0.02 363.7   6.2  0.0 0.98 357.8 0 0 AOL HG84
  92        3.1  3.2  5.2                                                                                       1   ERT     
  93   5.8  0.7  0.5  2.8  2   8.7  59.8   1.62 0.05 1.03   1.66 13452.2   5.0 0.04 335.3   7.1  0.0 0.96 320.9 0 0 AOG     
  94  12.4  1.0  2.7  8.5  8  11.8  19.2   2.76 0.12 1.09   3.00  4793.5  10.9 0.02 276.7  15.4 41.8 0.98 231.2 0 0 AOL Sp05
  95  34.5  1.6  2.9  8.5  4  21.9  38.3   5.81 0.18 1.13   6.55  4417.9   3.7 0.01 273.0   5.2 14.6 0.99 254.7 0 0 AOL Sp05
  96 671.0 21.4 19.5  2.1  4  31.3 110.2 102.04 1.10 1.03 104.89  1561.8   1.1 0.01 224.6   1.6  3.3 0.99 220.1 0 0 G43 Sp05
  97  11.6  1.4  1.6  4.1  3   8.3  23.0   1.39 0.08 1.10   1.53  9449.8   5.6 0.03 151.5   8.0  0.0 0.97 146.8 0 0 AOL HG84
  98  37.5  1.4  1.6  4.6  3  26.9  56.0   2.29 0.06 1.04   2.37  4766.9   2.2 0.02  61.6   3.1  0.0 0.98  60.6 0 0 AOL HG84
  99        2.0  1.5  2.7                                                                                       1   AOG     
 100  11.1  1.5  4.5  8.8 10   7.3   7.8   1.54 0.15 1.06   1.64  6741.7  20.7 0.02 191.6  29.3 33.0 0.98 155.2 0 0 AOL Sp05
 101        4.7  4.8  5.2                                                                                       1   ERT     
 102 113.0  5.2  7.8 11.4  2  21.7  42.9  18.42 0.92 1.00  18.46  4852.0   3.5 0.02 489.0   5.0  0.0 0.98 481.2 0 0 G91 Sp05
 103 114.0  2.2  1.6  2.6  2  51.0 243.0  19.81 0.14 1.08  21.49  1510.2   0.6 0.01 252.4   0.9  0.0 0.99 251.1 0 0 G91 TC88
 104   5.1  0.6  1.7  8.8 10   9.1  14.0   1.28 0.09 1.07   1.37 10484.3  18.9 0.03 509.2  26.7 44.7 0.97 448.8 0 0 AOL Sp05
 106   4.9  1.7  6.0  8.8 14   2.9   4.1   1.34 0.22 1.03   1.38  9348.7 114.3 0.03 327.7 161.6 47.8 0.97 271.5 2 0 AOL Sp05
 107  15.4  0.8  2.0  8.4  8  20.2  30.4   2.54 0.07 1.06   2.69  3186.5   7.8 0.01 178.3  11.0 43.5 0.99 133.5 0 0 AOL Sp05
 108   3.2  0.5  1.3  8.5 10   7.0   6.4   0.46 0.06 1.04   0.48  5078.2  18.0 0.02 325.6  25.5 30.1 0.98 290.5 0 0 AOL Sp05
 110        6.1  4.4  2.6                                                                                       1   NRT     
 111        6.9  3.5  1.3                                                                                       1   NRT     
 113   3.8  1.3  1.4  4.1  3   3.0   8.0   0.63 0.13 1.13   0.71  6402.3  12.9 0.02 416.2  18.2  0.0 0.98 407.5 2 1 AOL HG84
 114        1.2  0.9  2.7                                                                                       1   AOG     
 115  62.9  2.0  3.7  8.5  4  31.3  55.9  11.19 0.24 1.11  12.40  5126.2   2.6 0.02 291.5   3.6 14.7 0.98 272.2 0 0 AOL Sp05
 116   6.1  0.5  0.5  4.1  3  12.7  51.5   1.43 0.04 1.10   1.58  3908.7   7.5 0.01 266.7  10.6  0.0 0.99 263.3 0 0 AOL HG84
 118        6.0  3.1  1.3                                                                                       1   NRT     
 119  22.0  2.1  2.8  8.6  2  10.4  31.9   4.76 0.25 1.08   5.15  5963.9   5.6 0.02 286.2   7.9  0.0 0.98 280.6 0 0 AOL Sp05
 120   7.6  0.8  0.5  1.8  2   9.2  66.2   1.82 0.05 1.14   2.07  6689.7   2.8 0.02 418.6   4.0  0.0 0.98 409.5 0 0 AOL HG80
 122  19.6  1.2  3.1  8.6  8  16.4  22.9   3.93 0.15 1.04   4.09  6938.2   6.9 0.02 312.3   9.7 44.5 0.98 261.7 0 0 AOL Sp05
 123  61.8  2.2  2.5  4.3  3  27.7  97.7  12.70 0.18 1.03  13.08  5898.1   2.3 0.02 262.5   3.2  0.0 0.98 257.5 0 0 G91 HG84
 124        1.2  0.8  2.7                                                                                       1   AOG     
 125   6.7  0.7  0.7  5.3  2   9.1  48.9   2.01 0.10 1.00   2.01  7086.3   8.1 0.02 583.9  11.5  0.0 0.98 570.4 0 0 ERT     
