galaxy,group,phase,hi_diameter_kpc,hi_diameter_err_kpc,hi_mass,hi_mass_err,optical_diameter_kpc,optical_diameter_err_kpc,log_stellar_mass,distance_mpc,linear_resolution_kpc,coldens_limit,fractional_mass_error
HCG23d,HCG23,1,27.3486128464854,0.43408071085593397,1663356169.0941494,91497.84650493634,11.602881937039161,2.369004431837354,0.0,59,9.236197302863934,6.0287383588506665e+19,0.005500797015396008
HCG25a,HCG25,1,54.52264914455655,1.2024293302259312,8400516784.304339,167623.3386208027,31.783292186349065,2.5246366376108713,10.22,81,33.95185732779108,9.493952366137328e+18,0.0019953931755007366
HCG25b,HCG25,1,36.157528968000186,0.38683660807179887,3487373909.2310495,184616.84593116588,23.056424204018963,2.44226032273749,0.0,83,34.79017479267481,8.298988637128204e+18,0.005293864401591313
HCG26a,HCG26,1,63.570697556461575,0.8786160873426493,14709194704.589758,498763.24033091345,50.615996654689994,4.308120009433088,0.0,132,19.561556141077272,7.299087158124063e+19,0.0033908262848358567
HCG26e,HCG26,1,20.597428485116648,0.9077711601546159,761051650.6745191,140873.21215727425,13.212504772811844,4.375071523015274,0.0,131,19.4133625339479,7.266771047391181e+19,0.018510335275196958
HCG31a,HCG31,2,15.414428083097357,0.16642062654442352,1552317242.3999598,92505.31428574065,18.185163294558688,1.8185163294558682,0.0,52,4.774532839018719,3.2616262734558364e+20,0.005959175853946118
HCG31b,HCG31,2,17.846123671146284,0.1478446175162636,1414310505.949142,55240.55844353143,14.930575605870583,2.2083939618822797,0.0,55,5.049986656654414,1.692104193226382e+20,0.0039058296046849744
HCG31c,HCG31,2,16.019225876420926,0.26133529901486074,902468372.2744824,49392.97562871643,9.953818813504833,2.3334028885091587,0.0,53,4.866350778230617,2.252734315238897e+20,0.005473097689200097
HCG31g,HCG31,2,13.850296596928086,0.16247671491632457,947485284.9465492,42576.3725028771,8.123014064265313,1.860875016280309,0.0,52,4.774532839018719,1.9305509259026996e+20,0.00449361833680393
HCG31q,HCG31,2,12.382305868898817,0.17793379445352378,510722368.96754867,37450.406305051656,,,0.0,53,4.866350778230617,1.7071443640076196e+20,0.0073328306298311476
HCG33c,HCG33,3c,48.17178913707395,0.6580312096409099,9994320007.903719,525334.1035516881,25.887948694002908,4.396404454484574,0.0,107,12.112265329666247,1.931161851352432e+20,0.0052563266248853635
HCG40c,HCG40,2,28.057047591117108,0.5224736098172587,2753093400.1055617,228233.22737675702,46.40353714525404,3.361639098269758,10.97,103,36.914883194207185,1.0200424290914351e+19,0.008290064818287889
HCG40d,HCG40,2,24.388509296999867,,1170113830.8451884,365978.4840028503,25.997999869281006,3.6723150900456885,10.67,98,35.12289857312917,3.1017908482983617e+19,0.03127716931082673
HCG56a,HCG56,3c,62.53996432872263,0.7808036695863178,7513908205.819354,146818.8324561392,34.32384,3.7635342167907306,10.42,118,17.517059058798306,2.81755199046486e+19,0.001953960953933817
