# A catalog of galaxies from the primary analysis sample in the paper "New Lessons from the  HI Size-mass Relation of Galaxies"
# Galaxies from the B97 sample are not included for a similar table is available in B97.
# The columns are 
# 1) galaxy name,
# 2) ${\rm D_{HI}}$ (kpc),
# 3) log ${\rm M_{HI}/M_{\odot}$,
# 4) the distance (Mpc),
# 5) the position angle (northern is 90 degree, counter-clock wise),
# 6) the axis ratio,
# 7) the B band magnitude,
# 8) the B band D$_{25}$ (kpc),
# 9) the sample name (Table 1 in the paper),
# 10) the reference paper for {\rm $D_{HI}$} and ${\rm M_{HI}}$r
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
    galaxy       DHI   log MHI       dis        PA       b/a       M_B       D25              sample                               reference
                 kpc      Msun       Mpc       deg                 mag       kpc                                                            
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
Bluedisk19     69.52     10.17     111.7     -40.3      0.70    -19.93     39.22            Bluedisk                               this work
Bluedisk20     66.03     10.21     114.2      -7.5      0.49    -20.37     40.98            Bluedisk                               this work
Bluedisk21     58.18      9.88     130.7     -68.7      0.63    -19.74     36.66            Bluedisk                               this work
Bluedisk22     59.68     10.00     124.1      -6.4      0.28    -20.49     64.10            Bluedisk                               this work
Bluedisk23     55.98      9.94     129.3      53.3      0.43    -20.75     58.13            Bluedisk                               this work
Bluedisk24     87.57     10.21     129.6     -13.8      0.49    -20.04     51.60            Bluedisk                               this work
Bluedisk25     44.97      9.76     120.4     -64.3      0.75    -20.21     34.00            Bluedisk                               this work
Bluedisk26     28.28      9.50     100.5     -37.8      0.39    -19.17     29.64            Bluedisk                               this work
Bluedisk28     25.44      9.12      79.7     -40.2      0.85    -19.63     28.17            Bluedisk                               this work
Bluedisk30     63.25     10.07     122.6     -11.3      0.26    -19.64     54.87            Bluedisk                               this work
Bluedisk32     43.69      9.56     117.5      55.0      0.44    -19.54     29.95            Bluedisk                               this work
Bluedisk33     29.70      9.20     117.7     -63.5      0.51    -20.35     52.23            Bluedisk                               this work
Bluedisk35     58.70      9.93     105.7     -62.1      0.33    -19.68     52.46            Bluedisk                               this work
Bluedisk36     27.07      9.39     108.9     -73.0      0.64    -19.89     30.85            Bluedisk                               this work
Bluedisk37     37.00      9.70     113.6     -87.4      0.66    -20.31     35.17            Bluedisk                               this work
Bluedisk40     41.22      9.65     118.9     -71.2      0.84    -19.98     31.26            Bluedisk                               this work
Bluedisk42     44.04      9.57     123.1     -63.8      0.57    -20.41     51.93            Bluedisk                               this work
Bluedisk43     39.77      9.59     117.8     -13.1      0.72    -19.70     33.05            Bluedisk                               this work
Bluedisk44     26.35      9.28     122.2     -50.5      0.58    -20.42     47.75            Bluedisk                               this work
Bluedisk45     37.28      9.61     113.0      24.7      0.39    -20.36     47.86            Bluedisk                               this work
Bluedisk47     71.19     10.01     104.7     -70.6      0.60    -19.89     42.67            Bluedisk                               this work
Bluedisk49     48.94      9.74     129.5     -22.3      0.54    -20.07     39.90            Bluedisk                               this work
Bluedisk50     48.67      9.80     121.7     -78.3      0.27    -20.03     63.58            Bluedisk                               this work
    UGC448     43.37      9.74      65.3         -         -    -19.93     23.04            Diskmass                Martinsson et al. (2013)
    UGC463     29.47      9.42      59.6         -         -    -20.75     27.96            Diskmass                Martinsson et al. (2013)
   UGC1087     34.96      9.52      59.6         -         -    -18.98     18.50            Diskmass                Martinsson et al. (2013)
   UGC1635     27.34      9.17      46.6         -         -    -18.76     25.80            Diskmass                Martinsson et al. (2013)
   UGC3140     60.21      9.97      62.1         -         -    -21.39     25.83            Diskmass                Martinsson et al. (2013)
   UGC3701     36.65      9.61      43.2         -         -    -18.22      7.92            Diskmass                Martinsson et al. (2013)
   UGC3997     40.29      9.73      83.1         -         -    -18.81     22.17            Diskmass                Martinsson et al. (2013)
   UGC4036     44.17      9.73      50.9         -         -    -20.94     38.98            Diskmass                Martinsson et al. (2013)
   UGC4107     24.53      9.29      51.1         -         -    -19.82     26.01            Diskmass                Martinsson et al. (2013)
   UGC4256     56.57     10.18      74.8         -         -    -21.69     40.62            Diskmass                Martinsson et al. (2013)
   UGC4368     67.54      9.99      56.4         -         -    -19.61     31.17            Diskmass                Martinsson et al. (2013)
   UGC4380     53.45      9.94     105.0         -         -    -20.24     34.73            Diskmass                Martinsson et al. (2013)
   UGC4458     73.62     10.11      68.4         -         -    -20.92     24.53            Diskmass                Martinsson et al. (2013)
   UGC4555     34.76      9.56      61.8         -         -    -20.98     32.48            Diskmass                Martinsson et al. (2013)
   UGC4622     98.49     10.40     178.2         -         -    -21.07     46.50            Diskmass                Martinsson et al. (2013)
   UGC6903     30.05      9.35      31.3         -         -    -18.94     20.28            Diskmass                Martinsson et al. (2013)
   UGC6918     23.46      9.23      21.8         -         -    -20.15      9.94            Diskmass                Martinsson et al. (2013)
   UGC7244     39.95      9.71      65.4         -         -    -18.66     14.65            Diskmass                Martinsson et al. (2013)
   UGC7917     69.34     10.00     102.9         -         -    -21.05     73.33            Diskmass                Martinsson et al. (2013)
   UGC8196    104.46     10.30     119.7         -         -    -20.96     33.53            Diskmass                Martinsson et al. (2013)
   UGC9177     66.12     10.01     132.4         -         -    -20.85     34.39            Diskmass                Martinsson et al. (2013)
   UGC9837     33.72      9.61      43.2         -         -    -18.65     12.40            Diskmass                Martinsson et al. (2013)
   UGC9965     34.91      9.65      70.6         -         -    -20.09     25.32            Diskmass                Martinsson et al. (2013)
  UGC11318     47.92      9.90      85.2         -         -    -20.76     39.58            Diskmass                Martinsson et al. (2013)
   UGC6463     37.86      9.58      41.1         -         -    -20.16     16.74            Diskmass                Martinsson et al. (2013)
   UGC6869     22.44      9.51      15.8         -         -    -20.18     10.20            Diskmass                Martinsson et al. (2013)
   UGC7416     53.48      9.93     101.2         -         -    -21.25     43.77            Diskmass                Martinsson et al. (2013)
   UGC8230     49.96      9.68     104.1         -         -    -20.17     45.03            Diskmass                Martinsson et al. (2013)
    NGC925     32.33      9.67       9.2     -81.1      0.75    -19.44     19.57              THINGS                               this work
   NGC1569      4.27      7.90       2.0     -77.7      0.32    -17.46      1.96              THINGS                               this work
   NGC2366     13.31      8.80       3.4     -62.8      0.41    -16.38      8.01              THINGS                               this work
      HoII     12.81      8.78       3.4     -72.2      0.87         -         -              THINGS                               this work
    M81DwA      2.80      7.10       3.6      -4.7      0.85         -         -              THINGS                               this work
     DDO53      3.86      7.79       3.6     -29.0      0.93    -13.46      1.57              THINGS                               this work
       HoI      6.39      8.13       3.8     -37.9      0.88         -         -              THINGS                               this work
   NGC2976      5.28      8.14       3.6     -42.0      0.84    -17.25      6.28              THINGS                               this work
    M81DwB      2.31      7.40       5.3     -51.1      0.89         -         -              THINGS                               this work
   NGC3184     34.14      9.49      11.1      -3.4      0.85    -19.89     21.71              THINGS                               this work
   NGC3351     25.17      9.08      10.1     -86.8      0.70    -19.60     14.09              THINGS                               this work
   NGC3627     15.55      8.92       9.3      -1.2      0.52    -20.32     17.96              THINGS                               this work
   NGC4214     11.47      8.60       2.9     -44.3      0.82    -17.10      4.06              THINGS                               this work
   NGC4736      8.48      8.61       4.7     -68.0      0.75    -19.44      5.65              THINGS                               this work
    DDO154     11.97      8.55       4.3     -44.7      0.35    -14.26      0.32              THINGS                               this work
   NGC4826      4.45      8.74       7.5     -54.4      0.28    -20.18     14.87              THINGS                               this work
   NGC5194     28.72      9.41       8.0     -41.0      0.74    -20.70     19.12              THINGS                               this work
   NGC7331     53.01      9.96      14.7     -12.6      0.22    -20.86     21.37              THINGS                               this work
   NGC7793     15.29      8.95       3.9     -55.3      0.71    -18.31      9.50              THINGS                               this work
   UGC6399     18.18      8.93      18.6      50.0      0.26    -16.52     13.91          Ursa Major                 Verheijen et al. (2001)
   UGC6446     32.03      9.52      18.6      20.0      0.63    -16.91     14.90          Ursa Major                 Verheijen et al. (2001)
   NGC3726     45.88      9.87      18.6      14.0      0.60    -20.21     31.11          Ursa Major                 Verheijen et al. (2001)
   NGC3769     46.64      9.71      18.6      60.0      0.34    -19.74     12.21          Ursa Major                 Verheijen et al. (2001)
   UGC6667     17.75      8.95      18.6      88.0      0.10    -16.61      9.36          Ursa Major                 Verheijen et al. (2001)
   NGC3877     23.70      9.20      18.6      36.0      0.24    -19.64     25.10          Ursa Major                 Verheijen et al. (2001)
   NGC3893     43.07      9.76      18.6      82.0      0.66    -20.20     15.60          Ursa Major                 Verheijen et al. (2001)
   NGC3917     29.11      9.31      18.6      77.0      0.19    -18.93     26.40          Ursa Major                 Verheijen et al. (2001)
   NGC3949     28.35      9.56      18.6      27.0      0.57    -20.53     12.01          Ursa Major                 Verheijen et al. (2001)
   NGC3953     35.93      9.51      18.6      13.0      0.47    -20.67     29.63          Ursa Major                 Verheijen et al. (2001)
   NGC3972     20.78      9.13      18.6      28.0      0.22    -18.50     14.25          Ursa Major                 Verheijen et al. (2001)
   UGC6917     26.19      9.33      18.6      33.0      0.56    -17.46      8.84          Ursa Major                 Verheijen et al. (2001)
   UGC6923     13.96      8.94      18.6      84.0      0.42    -17.35      4.96          Ursa Major                 Verheijen et al. (2001)
   UGC6923     13.96      8.94      18.6      84.0      0.42    -17.35      4.96          Ursa Major                 Verheijen et al. (2001)
   UGC6930     34.63      9.54      18.6      39.0      0.86    -17.27      8.29          Ursa Major                 Verheijen et al. (2001)
   NGC3992     51.40      9.78      18.6      68.0      0.56    -20.77     36.52          Ursa Major                 Verheijen et al. (2001)
