# CIG: AMIGA/CIG galaxy identifier,logd25: logarithm of the optical D25 diameter,E_logd25: uncertainty on logd25,PHYS_DISTANCE_decimal: uncertainty/decimal companion field from RESULTS_OPT
CIG,logd25,E_logd25,PHYS_DISTANCE_decimal
167,1.180,0.052,16.221
168,1.343,0.029,37.722
169,0.668,0.080,150.480
170,1.274,0.065,71.705
171,1.325,0.025,50.642
172,1.004,0.046,82.433
173,1.130,0.035,79.673
174,0.935,0.054,146.228
175,1.326,0.036,17.976
176,1.124,0.034,68.416
177,0.821,0.061,45.140
178,0.494,0.256,102.933
179,0.778,0.075,78.168
180,1.315,0.036,16.000
181,1.056,0.065,56.751
182,0.706,0.226,133.928
183,1.053,0.035,67.277
184,0.558,0.243,79.475
185,0.915,0.118,142.678
186,0.819,0.072,103.618
187,1.067,0.043,110.580
188,1.513,0.041,24.438
189,1.322,0.037,41.940
190,1.132,0.052,7.000
191,1.085,0.066,79.459
192,1.041,0.040,70.427
193,1.277,0.032,32.500
194,1.051,0.068,29.509
195,1.010,0.042,90.284
196,1.040,0.040,51.457
197,2.300,0.024,3.100
198,0.898,0.057,128.638
199,0.840,0.060,51.634
200,1.122,0.091,91.832
201,1.288,0.030,55.625
202,1.292,0.050,53.395
203,0.618,0.063,106.274
204,1.159,0.033,127.305
205,0.882,0.051,90.000
206,0.895,0.053,85.665
207,0.621,0.077,64.224
208,1.251,0.034,26.914
209,0.964,0.055,54.944
210,0.730,0.067,111.919
211,0.997,0.050,111.303
212,0.922,0.053,26.491
213,0.891,0.054,79.107
214,0.793,0.064,134.707
215,1.049,0.041,93.943
216,0.862,0.059,112.934
217,1.146,0.034,46.942
218,0.938,0.053,72.915
219,0.656,0.082,189.643
220,0.973,0.048,178.650
221,0.755,0.067,119.445
222,0.979,0.043,71.787
223,0.752,0.076,186.682
224,1.392,0.027,10.100
225,0.851,0.056,148.053
226,0.722,0.068,120.089
227,1.166,0.036,122.996
228,0.800,0.063,115.890
229,0.742,0.070,124.178
230,0.878,0.053,81.624
231,0.927,0.056,91.504
232,1.220,0.034,69.107
233,0.743,0.068,148.187
234,1.148,0.038,111.764
235,1.314,0.055,6.900
236,0.983,0.044,114.714
237,1.466,0.026,73.028
238,1.011,0.043,109.882
239,1.899,0.024,3.100
240,1.154,0.061,64.340
241,0.762,0.068,73.613
242,0.705,0.072,59.521
