# CIG: AMIGA/CIG galaxy identifier,logd25: logarithm of the optical D25 diameter,E_logd25: uncertainty on logd25,PHYS_DISTANCE_decimal: uncertainty/decimal companion field from RESULTS_OPT
CIG,logd25,E_logd25,PHYS_DISTANCE_decimal
945,0.939,0.050,83.360
946,1.228,0.074,101.917
947,1.655,0.027,18.400
948,0.749,0.072,134.017
949,1.151,0.041,23.598
950,0.920,0.054,52.368
951,0.933,0.079,176.472
952,0.875,0.125,102.367
953,0.549,0.200,97.140
954,0.952,0.048,86.256
955,0.794,0.164,159.895
956,1.034,0.043,119.217
957,0.957,0.094,96.518
958,0.954,0.048,88.946
959,1.087,0.037,64.317
960,0.823,0.072,111.864
961,0.697,0.075,165.827
962,0.920,0.136,93.869
963,0.942,0.058,103.923
964,0.709,0.188,
965,0.847,0.055,100.685
966,0.652,0.181,122.067
967,1.259,0.030,12.300
968,0.970,0.051,
969,1.029,0.047,35.269
970,1.087,0.096,156.000
971,1.429,0.046,14.700
972,0.873,0.049,26.363
973,0.701,0.068,101.333
974,1.075,0.042,75.506
975,0.963,0.044,100.120
976,1.289,0.053,38.540
977,0.712,0.053,22.786
978,1.015,0.041,101.912
979,1.070,0.035,31.274
980,0.885,0.079,70.274
981,0.820,0.062,102.777
982,1.025,0.057,101.518
983,1.287,0.028,66.093
984,1.155,0.052,96.831
985,1.338,0.041,26.290
986,0.946,0.049,106.446
987,0.916,0.056,134.481
988,1.297,0.027,98.720
989,0.800,0.071,131.243
990,0.920,0.049,46.410
991,1.276,0.029,30.697
992,1.174,0.041,47.231
993,0.796,0.058,170.133
994,0.746,0.069,96.506
995,0.970,0.047,
996,0.619,0.212,
997,0.931,0.044,112.934
998,0.931,0.051,128.053
999,0.949,0.049,94.766
1000,1.105,0.037,76.224
1001,0.960,0.051,41.032
1002,1.045,0.039,89.718
1003,1.223,0.026,46.679
1004,1.562,0.017,32.506
1005,1.050,0.035,65.877
1006,0.972,0.048,75.279
1007,0.788,0.070,146.122
1008,0.957,0.045,130.050
1009,1.118,0.036,66.715
1010,0.835,0.055,156.723
1011,0.897,0.050,69.883
1012,0.776,0.060,99.307
1013,1.047,0.074,68.943
1014,0.878,0.104,103.843
1015,0.946,0.047,60.708
1016,0.833,0.060,130.179
1017,0.997,0.042,172.220
1018,0.703,0.228,132.215
1019,1.183,0.034,47.838
1020,1.294,0.066,50.331
1021,0.796,0.060,132.116
1022,0.913,0.054,200.515
1023,1.194,0.036,108.654
1024,0.890,0.053,170.949
1025,0.492,0.140,46.044
1026,0.895,0.053,164.450
1027,1.170,0.069,70.057
1028,0.964,0.044,42.094
1029,0.805,0.156,165.929
1030,0.913,0.052,53.669
1031,0.419,0.155,20.155
1032,1.034,0.041,25.046
1033,0.882,0.106,84.749
1034,0.952,0.095,155.503
1035,0.871,0.051,56.460
1036,0.880,0.057,57.448
1037,0.971,0.078,127.348
1038,1.386,0.041,67.731
1039,1.003,0.038,66.667
1040,0.877,0.052,135.426
1041,0.822,0.054,105.511
1042,1.065,0.048,67.195
1043,0.795,0.068,147.851
1044,1.083,0.041,93.035
1045,1.291,0.083,51.146
1046,0.989,0.043,106.320
1047,1.309,0.032,32.639
1048,1.200,0.029,64.161
1049,0.834,0.057,
1050,0.919,0.055,44.790
1051,0.769,0.062,139.262
