galaxy,group,phase,hi_diameter_kpc,hi_diameter_err_kpc,hi_mass,hi_mass_err,optical_diameter_kpc,optical_diameter_err_kpc,log_stellar_mass,distance_mpc,linear_resolution_kpc,coldens_limit,fractional_mass_error,is_upper_limit
HCG16d,HCG16,2,44.701519799419145,0.3994264160094759,4031402905.972112,257026.1419730581,20.651666301617663,1.4960809704360718,10.35,48,11.683301620054054,8.622050846870967e+19,0.0063756004539337,0
HCG19b,HCG19,1,11.63843299821605,0.1860887507428574,433791500.9860875,24855.65402612046,13.48084778998588,1.7366696121892689,0.0,52,12.37583370255328,1.5902289024094476e+19,0.0057298619197515,0
HCG19c,HCG19,1,24.83148045065516,0.5008595777428734,1440740836.116027,18854.321985759187,18.966610742857,1.6519227381898292,0.0,53,12.61383050452546,1.185827688127469e+19,0.0013086546527401,0
HCG22c,HCG22,3c,35.109797839657446,0.1779654846245458,2414003090.197244,78388.86381291375,14.791641155275205,1.1749418207544786,9.5,36,10.961826667306047,3.656725230065919e+19,0.0032472561502192,0
HCG23-26,HCG23,1,27.39725728633782,0.4503230268637159,2145247729.2315955,90963.004677078,,,0.0,71,11.11474590683626,5.804845164056767e+19,0.0042402098106245,0
HCG23a,HCG23,1,39.03348873533063,0.5956765461819834,1827847912.8628263,102229.2961031963,29.043865104854586,1.9636062736973443,0.0,63,9.862380170854706,6.65493114241835e+19,0.005592877579354,0
HCG23b,HCG23,1,43.72766037715202,0.6145954134355106,5552090612.010475,234553.65452543396,31.378141576303445,2.073133255011843,0.0,65,10.175471604850095,8.970792808002285e+19,0.0042246006219358,0
HCG23d,HCG23,1,27.3486128464854,0.4340807108559339,1663356169.0941494,91497.84650493634,11.60288193703916,2.369004431837354,0.0,59,9.236197302863934,6.0287383588506665e+19,0.005500797015396,0
HCG25a,HCG25,1,54.52264914455655,1.2024293302259312,8400516784.304339,167623.3386208027,31.783292186349065,2.5246366376108718,10.22,81,33.95185732779108,9.493952366137328e+18,0.0019953931755007,0
HCG25b,HCG25,1,36.157528968000186,0.3868366080717988,3487373909.231049,184616.84593116588,23.056424204018963,2.44226032273749,0.0,83,34.79017479267481,8.298988637128204e+18,0.0052938644015913,0
HCG26a,HCG26,1,63.570697556461575,0.8786160873426493,14709194704.589758,498763.2403309135,50.61599665469,4.308120009433088,0.0,132,19.561556141077272,7.299087158124063e+19,0.0033908262848358,0
HCG26e,HCG26,1,20.597428485116648,0.907771160154616,761051650.6745191,140873.21215727425,13.212504772811844,4.375071523015274,0.0,131,19.4133625339479,7.266771047391181e+19,0.0185103352751969,0
HCG31a,HCG31,2,15.414428083097356,0.1664206265444235,1552317242.3999598,92505.31428574063,18.185163294558688,1.818516329455868,0.0,52,4.774532839018719,3.2616262734558364e+20,0.0059591758539461,0
HCG31b,HCG31,2,17.846123671146284,0.1478446175162636,1414310505.949142,55240.55844353143,14.930575605870583,2.20839396188228,0.0,55,5.049986656654414,1.692104193226382e+20,0.0039058296046849,0
HCG31c,HCG31,2,16.019225876420926,0.2613352990148607,902468372.2744824,49392.97562871643,9.953818813504832,2.3334028885091587,0.0,53,4.866350778230617,2.252734315238897e+20,0.0054730976892,0
HCG31g,HCG31,2,13.850296596928086,0.1624767149163245,947485284.9465492,42576.3725028771,8.123014064265313,1.860875016280309,0.0,52,4.774532839018719,1.9305509259027e+20,0.0044936183368039,0
HCG31q,HCG31,2,12.382305868898817,0.1779337944535237,510722368.9675487,37450.406305051656,,,0.0,53,4.866350778230617,1.7071443640076196e+20,0.0073328306298311,0
HCG33c,HCG33,3c,48.17178913707395,0.6580312096409099,9994320007.90372,525334.1035516881,25.887948694002908,4.396404454484574,0.0,107,12.112265329666249,1.931161851352432e+20,0.0052563266248853,0
HCG40c,HCG40,2,28.057047591117108,0.5224736098172587,2753093400.1055617,228233.22737675704,46.40353714525404,3.361639098269758,10.97,103,36.91488319420719,1.0200424290914351e+19,0.0082900648182878,0
HCG40d,HCG40,2,27.930440182301794,,1170113830.8451884,365978.4840028503,25.997999869281006,3.672315090045689,10.67,98,35.12289857312917,3.1017908482983617e+19,0.0312771693108267,1
HCG56a,HCG56,3c,62.53996432872263,0.7808036695863178,7513908205.819354,146818.8324561392,34.32384,3.76353421679073,10.42,118,17.517059058798306,2.81755199046486e+19,0.0019539609539338,0
HCG58a,HCG58,2,43.49842433068799,0.3314925229074365,4523064038.908826,220721.6137489348,33.35283747950211,2.8387868660786126,0.0,85,35.852767595614885,9.566546686630955e+18,0.0048799135243325,0
HCG58e,HCG58,2,26.45793192496303,,1228440541.4908972,52811.92200036544,16.70290280413472,2.77199188099441,0.0,83,35.009173063953355,4.111363704811813e+18,0.0042991028231834,1
HCG59b,HCG59,1,35.19649901608604,0.4070121100025112,2155353260.1777267,59420.19916612633,11.33876809923052,2.315079307400735,9.88,59,8.25042453916834,5.044450609851887e+19,0.0027568659051846,0
HCG59c,HCG59,1,14.836354433588008,0.3681107513997732,453466961.65397775,9088.233966883312,15.24243708151573,2.0561481863203377,9.24,63,8.809775355383145,1.7302632777767772e+19,0.0020041667277666,0
HCG59d,HCG59,1,28.16292116387241,0.2996246991272934,1353770834.6123748,48301.60677062718,10.165806879043933,1.9370545674418769,8.66,58,8.110586835114642,5.097558762739378e+19,0.0035679308148529,0
HCG61c,HCG61,3a,23.54005696687486,0.1757963958881974,1354047960.8795948,43396.51657061881,28.305127267185927,1.9136614661647784,0.0,60,9.38704317939072,2.669005887565882e+19,0.0032049467836005,0
