reynolds_object,environment,distance_mpc,reynolds_lgMHI,reynolds_diameter_hi_arcsec,reynolds_diameter_r_arcsec,reynolds_diameter_hi_kpc,reynolds_diameter_r_kpc,reynolds_ra_deg,reynolds_dec_deg,match_status,query_radius_arcsec,match_count,match_index,separation_arcsec,pgc,hyperleda_objname,hyperleda_anames,hyperleda_otype,hyperleda_mtype,hyperleda_logd25,hyperleda_logr25,hyperleda_ra_deg,hyperleda_dec_deg,hyperleda_d25_arcmin,hyperleda_d25_kpc
J103725-251916,infall,55.24062410690895,10.33510447206565,371.2263693459845,127.35529135616758,99.41965719080473,34.1075431424015,159.35416666666669,-25.32111111111111,matched,15.0,1,0.0,12.412001577819158,31551.0,NGC3313               ESO501-50             MCG-4-25-044          UGCA213               ESO-LV5010500         IRAS10350-2503,NGC3313               ESO501-50             MCG-4-25-044          UGCA213               ESO-LV5010500         IRAS10350-2503,G,SBab,1.559999942779541,0.1299999952316284,159.357083,-25.318889,3.6307800693276415,58.34244649113285
J103818-285307,infall,65.3289945221412,9.798600114704538,145.15248137555204,71.70870922723346,45.97326045674906,22.711862278064693,159.57500000000002,-28.885277777777777,matched,15.0,1,0.0,3.274953787792072,31626.0,ESO437-22             MCG-5-25-028          ESO-LV4370220,ESO437-22             MCG-5-25-028          ESO-LV4370220,G,SBbc,1.2400000095367432,0.6399999856948853,159.574583,-28.886111,1.7378008669100269,33.02418441048099
J103821-254126,infall,51.09460142373226,8.848019176089267,69.48647582495379,18.512149381907545,17.21274632940829,4.5857115005457825,159.5875,-25.690555555555555,matched,15.0,1,0.0,3.0007999999968757,776142.0,,,G,,0.6200000047683716,0.0399999991059303,159.5875,-25.689722,0.4168693880473867,6.195853461066022
J103902-291255,infall,47.60309849901424,8.943082774412392,78.57489546612996,31.275464253568003,18.134012081261613,7.217949744085122,159.75833333333333,-29.21527777777778,matched,15.0,1,0.0,7.201408957461352,31664.0,ESO437-29             ESO-LV4370290,ESO437-29             ESO-LV4370290,G,Sbc,1.0299999713897705,0.6700000166893005,159.760417,-29.216111,1.0715192346486089,14.83751976848473
J103915-301757,infall,56.246441757204224,9.986757624005298,219.24912501326205,147.65607969678467,59.78714141666633,40.264402046431115,159.8125,-30.299166666666668,matched,15.0,1,0.0,1.2961409696123292,31677.0,ESO437-30             MCG-5-25-031          ESO-LV4370300         IRAS10368-3002        IRASF10369-3002,ESO437-30             MCG-5-25-031          ESO-LV4370300         IRAS10368-3002        IRASF10369-3002,G,SBbc,1.5,0.7599999904632568,159.812917,-30.299167,3.1622776601683795,51.73937409943564
J103922-293505,infall,57.79197278962041,9.533590550754772,115.9611056769944,55.37055157932565,32.490375774095476,15.513908884607444,159.84166666666667,-29.584722222222226,matched,15.0,1,0.0,1.30339660547291,31690.0,ESO437-31             MCG-5-25-033          ESO-LV4370310,ESO437-31             MCG-5-25-033          ESO-LV4370310,G,SBcd,1.1399999856948853,0.2399999946355819,159.842083,-29.584722,1.3803842191347615,23.20564385643872
J103958-301130,infall,48.93207230239006,9.147686061816756,111.69534083711667,72.77201938005824,26.497416564290077,17.263661109642488,159.99166666666667,-30.191666666666663,matched,15.0,1,0.0,10.728670347982588,31730.0,ESO437-33             MCG-5-25-034          ESO-LV4370330         IRAS10376-2955,ESO437-33             MCG-5-25-034          ESO-LV4370330         IRAS10376-2955,G,SBa,1.190000057220459,0.1500000059604644,159.992917,-30.194444,1.5488168229767911,22.04549136926512
J104000-292445,infall,56.18885467704224,9.409226532197575,119.50930214597324,33.7854837668643,32.555678949856485,9.203546024694804,160.0,-29.4125,matched,15.0,1,0.0,2.0016000000109,31732.0,ESO437-34             ESO-LV4370340,ESO437-34             ESO-LV4370340,G,Sbc,1.059999942779541,0.4699999988079071,160.0,-29.413056,1.14815347022194,18.766195646956284
J104004-301606,infall,50.51620403300838,9.515779261486204,130.30497215503743,77.237867412923,31.912921451145568,18.91628504298267,160.01666666666665,-30.26833333333333,matched,15.0,1,0.0,4.371509042400113,31738.0,ESO437-35             MCG-5-25-035          ESO-LV4370350         IRAS10377-3000,ESO437-35             MCG-5-25-035          ESO-LV4370350         IRAS10377-3000,G,SBbc,1.190000057220459,0.4799999892711639,160.017917,-30.267778,1.5488168229767911,22.75919427927695
J104048-244003,infall,54.5353286579966,9.228489452737424,79.48388495786249,37.40805810656046,21.01512065029001,9.890493586457032,160.2,-24.6675,matched,30.0,1,0.0,16.47938429324743,31793.0,ESO501-74             ESO-LV5010740,ESO501-74             ESO-LV5010740,G,Sm,0.9300000071525574,0.3499999940395355,160.205,-24.668056,0.8511380522200857,13.502185153838733
