catID,distance_mpc,log_smass,esmass,log_himass,match_count,match_index,separation_arcsec,pgc,hyperleda_objname,hyperleda_anames,hyperleda_otype,hyperleda_mtype,hyperleda_logd25,hyperleda_logr25,hyperleda_ra_deg,hyperleda_dec_deg,query_radius_arcsec,match_status,resolved_via,resolved_ra_deg,resolved_dec_deg,hyperleda_d25_arcmin,hyperleda_d25_kpc
J004624.49+293923.8,72.29,8.376,0.543,9.11,0,,,,,,,,,,,,60.0,unmatched,none,,,,
J004702.67+301243.8,72.2,8.36,0.398,9.03,0,,,,,,,,,,,,60.0,unmatched,none,,,,
J005642.82+302701.1,69.6,9.105,0.241,9.01,0,,,,,,,,,,,,60.0,unmatched,none,,,,
J010058.78+311348.1,69.52,9.402,0.11,9.14,0,,,,,,,,,,,,60.0,unmatched,none,,,,
J010129.47+311132.1,69.52,9.157,0.206,9.2,0,,,,,,,,,,,,60.0,unmatched,none,,,,
TJ00424891+2329246,101.28,10.416,0.098,9.88,0,,,,,,,,,,,,60.0,unmatched,none,,,,
TJ01512485+2235403,136.68,9.606,0.119,9.92,0,,,,,,,,,,,,60.0,unmatched,none,,,,
TJ10181522+0702203,55.2,9.433,0.114,9.72,0,,,,,,,,,,,,60.0,unmatched,none,,,,
TJ11210557+2121129,94.0,10.16,0.116,9.92,0,,,,,,,,,,,,60.0,unmatched,none,,,,
TJ11290050+0905220,94.8,9.473,0.183,9.52,0,,,,,,,,,,,,60.0,unmatched,none,,,,
TJ12314085+0355350,66.79,10.107,0.104,9.35,0,,,,,,,,,,,,60.0,unmatched,none,,,,
TJ12315691+0353208,66.0,9.138,0.22,9.43,0,,,,,,,,,,,,60.0,unmatched,none,,,,
TJ12354161+2613198,95.69,10.358,0.103,9.56,0,,,,,,,,,,,,60.0,unmatched,none,,,,
TJ14272958+0446468,121.19,10.739,0.121,9.91,0,,,,,,,,,,,,60.0,unmatched,none,,,,
TJ23423842+2705310,104.31,10.415,0.099,9.57,0,,,,,,,,,,,,60.0,unmatched,none,,,,
VGS_37,85.8,9.051,0.396,9.28,0,,,,,,,,,,,,60.0,unmatched,none,,,,
VGS_37a,83.99,9.052,0.173,9.61,0,,,,,,,,,,,,60.0,unmatched,none,,,,
