  287  1  0  0  0  0  0  0  0
  288  0  1  0  1  0  0  1  0
  289  0  0                 0
  290  0  0  1  0  0  0  0  0
  291  0  0  0  0  0  0  0  0
  292  1  0  0  0  0  0  0  0
  293  0  0  0  0  0  0  0  0
  294  1  0  0  0  0  0  0  0
  295  1  0  0  0  0  0  1  0
  296  0  0  0  0  0  0  0  0
  298  1  0  0  0  0  0  0  0
  299  0  0  0  0  0  0  0  0
  301  0  0                 0
  302  1  0                 0
  304  0  0  0  0  0  0  1  0
  305  0  0                 0
  306  0  0  0  0  0  0  0  0
  307  0  1                 0
  310  0  0                 0
  311  0  0                 0
  312  1  0  0  0  0  0  0  0
  314  0  0  0  0  0  0  0  0
  315  0  1                 0
  316  0  0                 0
  317  0  0  0  0  0  0  0  0
  319  1  0  0  0  0  0  0  0
  321  0  1                 0
  322  0  1  0  0  0  1  0  0
  323  1  0  0  0  0  0  0  0
  325  0  0  0  0  0  0  0  0
  326  1  0  0  0  0  0  0  0
  327  1  0                 0
  328  0  0  0  0  0  0  0  0
  329  0  0  0  0  1  0  0  0
  330  0  0  0  0  0  0  0  0
  331  1  0  0  0  0  0  1  0
  332  0  0  0  0  0  0  0  0
  333  0  0  0  0  0  0  0  0
  334  0  0  0  0  0  0  1  0
  335  1  0  0  0  0  0  0  0
  336  0  0  0  0  0  0  0  0
  338  0  0  0  1  0  0  0  0
  339  0  0  0  0  0  0  0  0
  340  1  0  0  0  0  0  0  0
  342  0  0  1  0  0  0  1  0
  343  0  0  0  0  0  0  0  0
  344  0  0  0  0  0  0  0  0
  345  1  0  0  0  0  1  1  0
  346  0  0  0  0  0  0  0  0
  348  0  1                 0
  349  0  0                 0
  350  0  0                 0
  351  0  0  0  0  0  0  0  0
  352  0  0  0  0  0  0  0  0
  353  0  0  0  0  0  0  0  0
  354  0  1  0  0  1  1  1  0
  355  0  0  0  0  1  0  0  0
  356  0  0  0  0  0  0  0  0
  357  0  0  0  0  0  0  0  0
  358  0  0  1  0  1  1  0  0
  359  0  0  0  0  0  0  0  0
  361  0  0  0  0  0  0  0  0
  362  1  0  0  0  0  0  0  0
  363  0  0  0  0  0  0  1  0
  364  0  0                 0
  366  0  0  0  0  0  0  0  0
  367  0  0  0  0  0  0  0  0
  368  0  0  0  0  0  0  1  0
  370  0  0                 0
  371  1  0  1  0  0  0  0  0
  372  0  0  0  0  0  1  0  0
  373  0  1                 0
  374  0  0  1  0  0  0  0  0
  375  0  0                 0
  376  1  0  0  1  0  0  1  0
  377  1  0  0  0  0  0  0  0
  378  0  0                 0
  379  1  0  1  0  0  0  0  0
  380  0  1                 0
  381  0  1                 0
  382  1  0  0  0  0  0  0  0
  383  1  0  0  0  0  0  0  0
  384  0  0                 0
  385  0  0  0  1  0  0  0  0
  386  0  0  0  0  0  0  0  0
  387  0  1                 0
  390  0  0  0  0  0  0  0  0
  391  0  0  0  0  0  0  0  0
  392  0  0                 0
  393  0  0  0  0  1  0  0  0
  394  1  0                 0
  395  0  0                 0
  396  0  0                 0
  397  0  0  0  0  0  0  0  0
  399  0  0  0  0  0  0  0  0
  400  1  0  0  0  0  0  0  0
  401  1  0  0  0  0  0  0  0
  402  0  0  1  0  0  0  0  0
  403  1  1                 0
  405  1  0  0  0  0  0  0  0
  406  0  1                 0
  407  1  0  0  1  0  0  1  0
  409  0  0  0  0  0  0  0  0
  410  1  0  0  0  1  0  0  0
  411  0  0                 0
  412  1  1                 0
  413  0  0                 0
  415  0  1                 0
  416  1  0  0  0  0  0  0  0
  417  0  0  0  0  0  0  0  0
  418  0  0  1  0  0  0  0  0
  420  0  0                 0
  421  1  0  0  0  0  0  0  0
  423  1  0  0  0  0  0  0  0
  424  0  1  0  0  0  0  0  0
  425  0  1                 0
  427  0  1  0  0  0  0  0  0
  429  0  0  0  0  1  0  0  0
  430  0  0  0  0  0  1  1  0
  431  0  0                 0
  432  0  0  0  0  0  0  0  0
  433  0  0  0  0  0  0  0  0
  438  0  0  1  0  1  0  1  0
  439  1  1  0  1  0  0  0  0
  441  0  0  0  0  0  0  0  0
  443  0  0                 0
  444  0  0  1  0  0  0  0  1
  445  0  0  0  0  0  0  0  0
  446  0  0  0  0  0  0  0  0
  450  0  1  0  0  0  0  1  0
  452  0  1  1  0  0  0  0  0
  453  0  0  0  0  0  0  0  0
  454  0  0  0  0  0  0  0  0
  456  0  0                 0
  457  1  0  0  0  0  0  0  0
  458  0  1                 0
  460  0  0  0  0  0  1  0  0
  461  1  0  0  0  0  0  0  0
  462  0  0                 0
  463  1  0  0  0  0  0  0  0
  466  0  0  0  0  0  0  0  0
  467  0  0  0  0  1  1  0  0
  468  0  0  1  0  1  0  0  0
  471  0  0                 0
  473  1  0  1  0  0  0  0  0
  474  1  0  1  0  0  0  0  0
  477  1  0  0  0  0  0  0  0
  480  0  0                 0
  481  0  0  1  0  0  0  0  0
  482  0  0  1  0  0  0  0  0
  483  0  0  0  0  1  0  0  0
  484  0  0  1  0  0  0  1  0
  485  0  1                 0
  487  0  0  0  0  0  0  0  0
  489  0  0  0  0  0  0  0  0
  490  0  0                 0
  491  0  0  0  0  0  0  0  0
  492  0  0  0  0  0  0  0  0
  494  0  0  0  0  0  1  1  0
  495  0  1                 0
  496  0  0  1  0  0  0  0  0
  497  0  0  0  0  0  0  0  0
  498  0  0  0  0  0  0  0  0
