# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:28:18
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J082144.40+682553.1"            22    229.560897    215.531721     25.267409           196           259           209           223            15            36           949      0.001085      0.005036      2.687037      0.000000             0      0.044934      3.293522      0.962785      0.525857      0.108047      0.001205     15.691170      9.580858     14.154410     32.313485      2.311653    -79.710828     34.919285      2.393910    -79.289452     96.844136      0.218699      0.042712      0.058101      0.037117    125.435003     68.431411   4.74291e+06           238           217            24    125.339404     68.437667   4.75639e+06
  "SoFiA J082704.23+674225.9"            23    107.444007     43.609407     28.921468           103           112            41            46            21            36           160      0.001079      0.004010      0.366273      0.000000             0      0.166667      3.089536      0.900762      0.211561      0.121938      0.002178     13.728441     12.868906     13.527983      4.036880      1.679304    -67.701591      3.132516      1.358565    -83.908710     -1.000000      0.142666      0.084547      0.283522      0.027547    126.767636     67.707183   4.70405e+06           109            44            30    126.750661     67.708980   4.69259e+06
  "SoFiA J082441.42+683654.2"            24    165.225505    260.292916     29.445370           161           170           258           262            28            35            37   9.78490e-04      0.004201      0.096158      0.000000             0      0.092500      3.580596      1.092860     -0.854464     -0.049454      0.002118      4.309780      1.890445      4.323614      5.731356      1.165586    -70.765241      0.000000      0.000000      0.000000     -1.000000      0.373039      0.144383      0.216126      0.012883    126.172578     68.615047   4.69848e+06           168           262            29    126.141193     68.622349   4.70322e+06
  "SoFiA J081247.07+691232.2"            25    421.137395    404.713613     22.593261           405           441           401           409            12            34           838   7.46432e-04      0.003912      2.009275      0.000000             0      0.109414      3.185403      0.927550      0.458267      0.177987      0.001625     14.150848     10.177450     12.204209     17.101285      1.946723    -80.269516     16.604136      1.784819    -80.760241     -1.000000      0.196467      0.040483      0.099564      0.047031    123.196105     69.208957   4.77135e+06           415           404            23    123.268376     69.206781   4.76702e+06
  "SoFiA J082945.76+680903.8"            26     50.157696    152.005798     30.851907            44            61           149           155            25            34           100      0.001388      0.003605      0.261149      0.000000             0      0.079365      3.820905      0.868962     -0.161222     -0.485162      0.001552      6.470382      2.334873      6.393359      8.072563      1.461019    -69.771619      5.350392      1.326394    -70.216514     -1.000000      0.224133      0.093368      0.103141      0.015516    127.440668     68.151053   4.68353e+06            48           151            31    127.464389     68.146529   4.68196e+06
  "SoFiA J081436.28+683324.7"            27    386.197987    247.174217     29.234987           382           391           246           250            23            33            57   4.00981e-04      0.003611      0.115200      0.000000             0      0.103636      3.432266      1.389139      0.227632     -0.366297      0.001801      7.249613      3.434796      7.197624      4.794931      1.225563    -70.704782      0.000000      0.000000      0.000000     -1.000000      0.247486      0.112981      0.243503      0.013595    123.651170     68.556861   4.70072e+06           386           247            30    123.653474     68.556155   4.69259e+06
  "SoFiA J081825.37+684724.3"            28    301.969649    301.761888     25.265575           293           311           298           308            17            32           300   1.29905e-04      0.003633      0.586147      0.000000             0      0.089713      3.377550      1.279675      0.618521      0.344283      0.001467     12.656459     11.517747     12.428250      7.850491      3.200816    -73.613413      7.793695      2.280212    -74.114819     -1.000000      0.159906      0.081645      0.167244      0.025413    124.605712     68.790092   4.74293e+06           302           301            29    124.605440     68.786917   4.70322e+06
  "SoFiA J081158.43+692543.2"            29    436.538055    457.984897     26.474851           433           441           456           460            21            31           117   6.13137e-04      0.003543      0.234936      0.000000             0      0.236364      3.020023      1.072730      0.146014     -0.619550      0.002259      9.755859      4.237998      9.641673      3.377096      2.284178     86.163083      0.000000      0.000000      0.000000     -1.000000      0.177053      0.113000      0.267917      0.024437    122.993438     69.428675   4.73007e+06           436           458            26    122.999809     69.428817   4.73512e+06
  "SoFiA J081347.29+685230.3"            30    401.991104    323.982752     28.380123           399           407           322           328            24            31            77      0.001265      0.002730      0.156010      0.000000             0      0.152778      4.479816      0.958212     -0.015217     -0.503046      0.001247      4.673213      2.346816      4.616628      3.736886      2.845459     58.283599      2.739526      1.520461    -14.633629     -1.000000      0.120696      0.107916      0.096824      0.010946    123.447031     68.875082   4.70981e+06           402           323            28    123.447243     68.870988   4.71385e+06
  "SoFiA J081401.05+674158.6"            31    404.544176     41.843099     26.744542           401           409            40            45            24            29            62   3.18019e-04      0.003196      0.127122      0.000000             0      0.191358      2.816683      0.841066     -0.343796      0.561306      0.001879      4.904345      4.553808      4.795457      4.584515      1.318338    -59.227420      3.518690      0.000000    -61.366057     -1.000000      0.230536      0.150518      0.175445      0.014795    123.504380     67.699605   4.72720e+06           403            41            27    123.521574     67.696264   4.72448e+06
  "SoFiA J082811.90+684728.8"            32     89.810369    304.408627     22.692607            87            92           302           307            19            27            44   7.23638e-04      0.004181      0.094032      0.000000             0      0.135802      2.928542      1.200102     -0.037016     -1.293353      0.002364      8.000000      7.648666      8.000000      3.392422      1.777026    -46.170784      0.000000      0.000000      0.000000     -1.000000      0.225232      0.221886      0.442073      0.015680    127.049603     68.791338   4.77029e+06            90           305            26    127.047630     68.793825   4.73512e+06
  "SoFiA J083140.36+674117.2"            33      2.572987     42.772103     20.407518             0             9            35            48            14            27           114   8.85814e-04      0.004319      0.280939      0.000000             1      0.058163      4.208245      1.483001      0.654513      0.167673      0.001440     13.000000      9.284133     13.000000      6.725882      5.166817    -13.902736      7.456087      4.976545    -15.203957     -1.000000      0.142295      0.180719      0.189084      0.015380    127.918152     67.688101   4.79460e+06             0            45            20    127.947472     67.696890   4.79893e+06
  "SoFiA J082605.53+682001.2"            34    133.052555    193.379423     19.949385           131           137           191           196            16            26            36   9.16229e-04      0.003978      0.089219      0.000000             0      0.077922      3.749098      1.193988      0.103403     -1.112326      0.002031      8.751880      0.532169     10.000000      4.250490      1.658568    -45.527013      0.000000      0.000000      0.000000     -1.000000      0.223593      0.213967      0.554505      0.012183    126.523055     68.333675   4.79947e+06           132           192            16    126.534580     68.327830   4.84149e+06
  "SoFiA J082240.92+684715.3"            35    209.513323    301.148089     19.226332           206           216           299           304            16            24            63      0.001662      0.004074      0.180846      0.000000             0      0.106061      3.793747      0.999658      0.537300     -0.093322      0.001891      8.000000      4.441707      8.000000      5.717939      1.568798    -75.501445      4.353678      0.907832    -82.603044     -1.000000      0.221725      0.081191      0.186753      0.015007    125.670483     68.787589   4.80716e+06           211           301            17    125.653349     68.787023   4.83085e+06
  "SoFiA J082826.73+675902.2"            36     78.274047    110.906699     18.343447            75            80           109           113            14            23            57      0.001114      0.003506      0.116912      0.000000             0      0.190000      3.298516      1.069628      0.998807      0.455153      0.001986      8.949509      4.494395      8.912365      2.293895      1.451672    -61.111980      1.463848           nan    -82.676399     -1.000000      0.139323      0.109862      0.322259      0.014996    127.111374     67.983955   4.81656e+06            79           111            18    127.103341     67.984440   4.82021e+06
  "SoFiA J082713.02+684832.3"            37    111.215242    308.026309     18.154491           108           113           306           310            16            20            30      0.001731      0.004105      0.079480      0.000000             0      0.200000      2.956219      0.733359      0.771780     -0.172693      0.002680      3.971637      2.711988      3.701110      3.387551      1.136416    -58.440770      0.000000      0.000000      0.000000     -1.000000      0.273237      0.190486      0.198877      0.014678    126.804267     68.808985   4.81857e+06           112           308            19    126.795216     68.808963   4.80957e+06
