# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:32:01
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_app        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_app_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J085848.84+444938.9"            25    808.316796    305.909520    109.760545           794           819           296           315           109           114           213  -2.66741e-04      0.002805      0.420595      0.000000             0      0.068269      6.881338      1.864805      1.502435      5.823740      0.001152      0.800000      0.500000      5.000000     15.777127      4.352252     54.996799      0.000000      0.000000      0.000000     -1.000000      0.257851      0.192169      0.062275      0.016813    134.703481     44.827478  -3.64478e+05           801           313           109    134.707771     44.830439  -3.61952e+05
  "SoFiA J085925.67+444616.3"            26    547.118691    170.503756    109.748035           531           572           151           183           107           112           856     -0.001462      0.003122      1.704210      0.000000             0      0.102934     48.351212    184.669351      7.347931     57.544526      0.001059      5.000000      0.996344      5.000000     17.433790     11.768214    -39.486328     10.212487      5.423718     15.497820     -1.000000      0.134593      0.153652      0.026106      0.030996    134.856952     44.771189  -3.64436e+05           548           173           110    134.856434     44.772229  -3.65273e+05
  "SoFiA J090032.02+444219.8"            27     75.564159     13.544100    108.465495            46           114             0            33           106           112           705  -2.07439e-04      0.004512      1.512313      0.000000             5      0.042930    251.671967   1308.238466      7.097536     55.914210      0.001459      4.588471      3.924731      4.620389     30.287767     14.157377    -89.921430      6.847045      3.166279     10.362328     -1.000000      0.466807      0.185351      0.040156      0.038742    135.133425     44.705502  -3.60177e+05            74            16           107    135.134346     44.706523  -3.55311e+05
  "SoFiA J090011.22+445207.9"            28    224.220156    405.189244    106.193220           212           238           394           418           104           108           398   5.88042e-04      0.002739      0.755927      0.000000             0      0.117926      8.625021      3.939136      2.116993      6.137899      0.001396      2.800000      1.000000      2.881721     11.363339      8.242370    -32.925327      0.000000      0.000000      0.000000     -1.000000      0.192800      0.202955      0.039064      0.027856    135.046754     44.868850  -3.52632e+05           223           404           106    135.047470     44.868354  -3.51990e+05
  "SoFiA J090041.35+444221.3"            29      9.254953     14.784109    100.007499             0            25             0            35            92           107          1097   2.17211e-04      0.003650      2.314846      0.000000             5      0.073251     34.271502     82.900657      7.522002     80.348222      0.001239      8.517955      7.773963      8.649843     16.598378     11.193895      8.583233     10.857305      7.175342    -20.585274     -1.000000      0.107449      0.162496      0.064757      0.041028    135.172301     44.705925  -3.32091e+05             8            11           100    135.173029     44.704346  -3.32066e+05
  "SoFiA J085907.68+450317.6"            30    674.029438    851.446654    102.717640           635           709           799           884           100           106          4475     -0.001298      0.003729      7.666758      0.000000             0      0.099114     31.735758     78.048253      5.637634     41.318842      0.001137      5.990135      5.462220      5.768374     41.305268     23.298167    -12.710063     33.286252     12.243928    -23.524220     -1.000000      0.132329      0.208940      0.018149      0.076061    134.781998     45.054878  -3.41091e+05           685           859           104    134.775522     45.058019  -3.45349e+05
  "SoFiA J090034.60+445602.4"            31     59.039673    562.016198    103.955925            43            70           553           569            99           105           306      0.001076      0.002860      0.581520      0.000000             0      0.091837     13.693604     54.283816     15.897170    264.189160      0.001167      3.286232      0.500000      6.000000     12.056005      7.253366     75.799193      0.000000      0.000000      0.000000     -1.000000      0.217388      0.134680      0.072459      0.020407    135.144169     44.934009  -3.45202e+05            57           564           105    135.145373     44.934833  -3.48669e+05
  "SoFiA J085952.67+444812.1"            32    355.538957    247.770842    101.570177           351           360           245           251           100           105            88  -6.05250e-04      0.001890      0.042818      0.000000             0      0.209524      0.840954      1.452891      2.279719      3.681399      0.001388      3.722240      1.511785      3.650014      4.933837      2.619306     76.339155      0.000000      0.000000      0.000000     -1.000000      0.661400      0.373584      0.268467      0.013020    134.969445     44.803348  -3.37280e+05           355           247           101    134.969761     44.803026  -3.35387e+05
  "SoFiA J085821.75+450359.9"            33    998.376134    880.420989     97.366750           966          1024           858           913            91           104          2309     -0.001020      0.003537      4.175523      0.000000             5      0.049918     32.941659    163.408038     13.227904    183.176047      0.001038      7.361906      6.304015      7.511560     31.249044     24.949836     85.670753     52.692062     13.530487    -70.103066    279.477296      0.180214      0.135808      0.034284      0.049858    134.590632     45.066633  -3.23322e+05          1021           883            95    134.577279     45.067673  -3.15463e+05
  "SoFiA J085926.09+444553.6"            34    544.106280    155.404804    100.628588           501           567           130           184            99           104           998   5.86271e-05      0.004286      2.469857      0.000000             0      0.045138     15.726781     17.376336      3.223958     12.929093      0.001316      2.800000      1.000016      2.839567     41.046275     10.792369     47.736536     44.921458      4.702389     46.585182     -1.000000      0.280690      0.251614      0.020248      0.041561    134.858722     44.764898  -3.34154e+05           533           164           101    134.865239     44.768480  -3.35387e+05
  "SoFiA J085941.23+445748.4"            35    436.865960    631.937785    100.370496           422           457           617           644            99           103           624      0.001081      0.003080      1.262537      0.000000             0      0.123810     21.365386     88.277251      8.726750     78.556207      0.001703      2.929884      2.380110      2.834281     14.892638     11.294406     60.519244      0.000000      0.000000      0.000000     -1.000000      0.259981      0.222659      0.027324      0.042529    134.921811     44.963446  -3.33296e+05           436           634           101    134.922321     44.964305  -3.35387e+05
  "SoFiA J090027.81+444214.5"            36    105.473687      9.940466     99.989859            65           131             0            32            97           103          1101   2.61396e-04      0.003500      1.865034      0.000000             5      0.071138     44.433777    232.407110     18.466909    410.347046      0.001229      6.000000      4.362812      6.000000     28.623877     11.366242     89.461516     13.064878      4.128064     86.055377     -1.000000      0.397933      0.135817      0.038896      0.040776    135.115884     44.704039  -3.32033e+05           100            10           100    135.119093     44.704057  -3.32066e+05
  "SoFiA J085937.60+450009.1"            37    462.610767    725.744740     97.895143           444           483           712           735            96           102           573  -1.63211e-04      0.003137      1.008679      0.000000             0      0.085268     86.062609    290.441924      3.627895     11.275810      0.001117      3.801800      3.010753      3.793571     23.303878      7.416536     73.846230      0.000000      0.000000      0.000000     -1.000000      0.304053      0.129137      0.032545      0.026732    134.906670     45.002537  -3.25077e+05           452           729            99    134.912924     45.003892  -3.28746e+05
  "SoFiA J090041.73+445517.1"            38      8.437063    532.002909     99.645822             0            23           515           554            97           102           648     -0.002069      0.002895      1.022462      0.000000             5      0.112500     14.587127     29.925156      7.606402     84.172187      0.001329      4.216468      1.215521      4.687710     19.422528     11.033775    -16.468186      0.000000      0.000000      0.000000     -1.000000      0.181734      0.293395      0.041153      0.033830    135.173888     44.921430  -3.30890e+05             3           522           100    135.177066     44.917254  -3.32066e+05
  "SoFiA J085847.21+445331.3"            39    819.470008    460.825813     98.363683           794           849           445           483            97           102           750  -8.54938e-04      0.002400      1.147677      0.000000             0      0.057234      7.651014      3.020888      4.958058     55.628342      0.001096      3.664795      3.161987      3.646536     33.512581     15.423749     87.079316      0.000000      0.000000      0.000000     -1.000000      0.437519      0.221027      0.033677      0.030008    134.696727     44.892016  -3.26633e+05           821           452            97    134.695839     44.888337  -3.22104e+05
  "SoFiA J085950.75+450719.5"            40    369.901792   1012.712865     96.818073           349           392           998          1024            94           101           571   2.44788e-04      0.002423      1.077120      0.000000             5      0.060080     28.368136     56.651068      4.882721     27.997631      0.001160      5.800000      5.500000      5.835473     28.807016     12.157075    -88.168395      0.000000      0.000000      0.000000     -1.000000      0.370433      0.161227      0.058346      0.027709    134.961479     45.122080  -3.21500e+05           377          1022            99    134.957292     45.125953  -3.28746e+05
  "SoFiA J085833.90+450257.2"            41    912.712194    838.345058     98.280119           901           922           821           856            96           101           457   4.19974e-04      0.001987      0.639723      0.000000             0      0.096170     12.447313      9.195900      1.786079      4.214119      0.001208      1.608104      1.005065      3.903167     18.948014      7.620676    -20.203096      0.000000      0.000000      0.000000     -1.000000      0.195082      0.392445      0.043965      0.025834    134.641241     45.049216  -3.26355e+05           911           848            98    134.642234     45.053241  -3.25425e+05
  "SoFiA J085857.98+445004.8"            42    743.430882    323.018689     96.123274           732           752           305           343            93           101           576  -2.60531e-04      0.002354      0.864699      0.000000             0      0.078144     12.484689     14.455217      4.190082     30.639059      0.001175      5.403185      1.001799      5.770413     20.388689      7.954968     -4.236159      0.000000      0.000000      0.000000     -1.000000      0.143811      0.341034      0.051152      0.028189    134.741584     44.834658  -3.19193e+05           744           317            96    134.741256     44.832150  -3.18784e+05
  "SoFiA J085915.47+450541.8"            43    618.886256    947.551494     95.472707           595           643           934           957            94            99           652   6.79041e-04      0.002412      1.090244      0.000000             0      0.092404     18.170344     28.823496      5.344665     31.950901      0.001186      2.800000      1.000000      2.833468     22.325076     10.152229    -88.169197      0.000000      0.000000      0.000000     -1.000000      0.350147      0.146111      0.024816      0.030294    134.814479     45.094944  -3.17033e+05           628           947            96    134.809100     45.094711  -3.18784e+05
  "SoFiA J090000.61+450329.5"            44    300.144735    859.502576     96.424933           283           333           839           883            94            98          1118     -0.001247      0.003943      2.278160      0.000000             0      0.097429     52.347546    297.556080      9.023437     86.085652      0.001403      3.454016      1.384611      3.394223     19.058147     14.360002     88.552918     10.101348      6.754552      3.946156     -1.000000      0.269047      0.177644      0.020194      0.046925    135.002531     45.058205  -3.20195e+05           298           853            97    135.003790     45.055494  -3.22104e+05
  "SoFiA J085846.59+445247.8"            45    823.968158    431.840916     94.781963           806           839           426           439            92            96           227  -9.62162e-04      0.002875      0.363691      0.000000             0      0.095378      5.878845      2.285128     -1.602378      3.171407      0.001317      4.000000      0.732888      4.000000     19.532785      4.759612    -81.347311      0.000000      0.000000      0.000000     -1.000000      0.519167      0.137827      0.095467      0.019842    134.694120     44.879935  -3.14739e+05           816           429            96    134.698809     44.878759  -3.18784e+05
  "SoFiA J085942.06+445730.8"            46    431.037431    620.219094     94.042923           408           453           604           634            90            95           616     -0.002157      0.002677      0.895368      0.000000             0      0.071996     11.029693      8.608757      6.395279     77.130112      0.001122      2.822673      2.378043      2.805171     20.410162     10.042776     77.026753      0.000000      0.000000      0.000000     -1.000000      0.350744      0.167310      0.031942      0.027846    134.925239     44.958562  -3.12285e+05           443           622            95    134.918196     44.959306  -3.15463e+05
  "SoFiA J085901.55+444218.1"            47    718.571014     11.850684     91.502766           705           732             0            24            90            95           795  -5.94128e-04      0.002724      1.402092      0.000000             5      0.189286     42.308920    121.210547     12.692995    228.037427      0.001383      5.000000      0.690903      5.000000     13.405151     11.009466    -19.854818      0.000000      0.000000      0.000000     -1.000000      0.157041      0.184479      0.057666      0.038999    134.756462     44.705021  -3.03850e+05           715            11            90    134.758556     44.704669  -2.98860e+05
  "SoFiA J085842.55+445156.7"            48    852.658613    397.872260     92.405096           842           866           384           407            88            94           358   6.91841e-04      0.002555      0.608476      0.000000             0      0.085238     27.929205     52.315812      2.551732      5.108510      0.001018      3.761493      3.403734      3.788324     11.914665      7.970773    -71.734699      0.000000      0.000000      0.000000     -1.000000      0.178880      0.140881      0.058906      0.019261    134.677298     44.865753  -3.06846e+05           852           395            94    134.677689     44.864557  -3.12142e+05
  "SoFiA J085834.00+444449.9"            49    914.106045    113.474998     88.673062           894           928            95           129            86            91           740      0.001149      0.003482      1.813267      0.000000             0      0.100680     68.704405    261.864336      6.755078     51.731533      0.001230      3.800000      1.000000      5.000000     16.401784     11.760810    -19.128686      7.258773      2.295960    -32.927195     -1.000000      0.119809      0.153601      0.027172      0.033472    134.641658     44.747186  -2.94453e+05           921           122            89    134.637599     44.750730  -2.95539e+05
  "SoFiA J085954.77+450402.2"            50    341.417631    881.209579     86.271703           323           358           867           891            84            90           496   4.90389e-04      0.002383      0.739714      0.000000             0      0.078730     11.057907     10.183743      3.745868     15.907817   7.40267e-04      6.000000      6.000000      6.000000     21.563909      7.537872     67.081617     31.915752      3.078148     64.130773     -1.000000      0.209350      0.124506      0.062375      0.016487    134.978202     45.067273  -2.86479e+05           344           880            84    134.976677     45.066771  -2.78936e+05
