cig,PHOT_EXTINCTION_INT,PHOT_EXTINCTION_INT_decimal,PHOT_K_CORRECTION,PHOT_K_CORRECTION_decimal,BTC,BTC_decimal,PHYS_DISTANCE,PHYS_DISTANCE_decimal,PHYS_LUMINOSITY_B,PHYS_LUMINOSITY_B_decimal,POS_INCLIN_LOS,POS_INCLIN_LOS_decimal,ANG_SIZE_MAJ,ANG_SIZE_MAJ_decimal,ANG_SIZE_MIN,ANG_SIZE_MIN_decimal,PHYS_SIZE_MAJ,PHYS_SIZE_MAJ_decimal,PHYS_SIZE_MIN,PHYS_SIZE_MIN_decimal
177,349,0.3491,25,0.0246,14.762,14.7623,45.1,45.140,9.35,9.3542,57.8,57.824,0.66,662,0.38,381,8.7,8.695,5.0,5.004
178,0,0.0000,42,0.0419,15.023,15.0231,102.9,102.933,9.97,9.9659,0.0,0,0.31,312,0.31,312,9.3,9.339,9.3,9.339
179,0,0.0000,87,0.0872,14.962,14.9618,78.2,78.168,9.75,9.7513,68.5,68.456,0.60,600,0.44,441,13.6,13.638,10.0,10.017
180,76,0.0760,0,0.0000,12.362,12.3620,16.0,16.000,9.41,9.4135,25.9,25.930,2.07,2.065,1.87,1.866,9.6,9.613,8.7,8.687
181,287,0.2871,19,0.0186,13.490,13.4903,56.8,56.751,10.06,10.0618,47.5,47.472,1.14,1.138,0.78,783,18.8,18.780,12.9,12.933
182,822,0.8218,65,0.0649,14.466,14.4663,133.9,133.928,10.42,10.4172,79.2,79.228,0.51,508,0.15,148,19.8,19.797,5.8,5.776
183,870,0.8703,33,0.0331,14.119,14.1186,67.3,67.277,9.96,9.9583,81.6,81.555,1.13,1.130,0.30,304,22.1,22.110,6.0,5.951
184,165,0.1646,59,0.0591,14.960,14.9603,79.5,79.475,9.77,9.7663,44.6,44.551,0.36,361,0.27,268,8.4,8.355,6.2,6.194
185,362,0.3618,59,0.0591,14.172,14.1721,142.7,142.678,10.59,10.5899,53.7,53.715,0.82,822,0.50,505,34.1,34.126,20.9,20.945
186,160,0.1602,43,0.0430,15.280,15.2799,103.6,103.618,9.87,9.8689,37.1,37.059,0.66,659,0.53,532,19.9,19.868,16.0,16.038
